"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
0.0019817446,-0.12763394,0.024540158,-0.02503264,0.027655237,-0.032011227,0.06046283,0.11105855,0.0041206797,-0.023681551,-0.022521866,0.013551862,0.078147461,0.14220663,52,2
-0.0060146735,-0.03027483,0.029296248,-0.020497297,0.14102572,0.10856693,0.020167172,-0.033515531,-0.0053413037,0.085269992,-0.015170943,0.0091458686,0.056530969,0.06776763,53,2
-0.0047283784,-0.13238047,0.030433313,-0.026830086,0.041241554,0.019802153,0.035964466,0.17037563,0.0047738507,-0.014986843,-0.022243881,0.014027981,0.068995058,0.17291744,54,2
-0.0061527317,-0.055029326,0.011794843,-0.034546906,0.19869992,0.067455198,0.082320815,0.092728392,0.010863404,0.027274684,-0.023351123,0.0048793402,0.039544249,0.1720737,55,2
-0.0096116316,-0.17098967,0.065646152,0.0082580878,0.15810408,0.14162189,-0.13841112,-0.034575448,-0.012407498,0.11534799,-0.01608441,0.021141282,0.17445427,0.22456076,56,2
-0.0059888921,-0.10849047,0.043342149,0.0014238132,0.11852729,0.072822583,0.079799493,0.1239223,0.0082367667,0.030448952,-0.026570408,0.009407385,-0.0080268488,0.27256826,57,2
-0.0060900973,-0.098642159,0.051010706,-0.050246095,0.06664298,0.22987803,0.096373044,0.049642768,0.0034352711,0.065657725,-0.02068599,0.020149365,0.06912158,0.22776,58,2
-0.0037437825,-0.12029699,0.04724748,-0.061703194,0.1156894,0.19842067,0.054513061,0.036227328,-0.0054298607,-0.015496311,-0.02977407,0.01915895,0.062865218,0.14214166,59,2
-0.01030478,-0.096846476,0.050630165,-0.02317467,0.1411029,0.049922733,-0.059794024,0.13558863,0.008170009,0.064044972,-0.024897657,0.016746163,0.10832626,0.28363032,60,2
-0.010051042,-0.11708038,0.036709902,-0.034329053,0.10287905,0.014430532,-0.11316055,0.16419801,0.00022259773,0.035915716,-0.021289126,0.023512648,0.086718107,0.31551188,61,2
-0.0062644914,-0.069239055,0.033866488,-0.0067910158,0.1004822,-0.092441848,-0.041626905,0.070366493,-0.0082425933,-0.05506398,-0.0069231896,0.012421031,0.0295402,0.34460238,62,2
-0.0082902045,-0.18289875,0.022446837,-0.02707348,0.11161317,0.053927377,0.039247679,0.11457728,0.010190653,0.077280534,-0.010218774,-0.0024470758,0.13026752,0.080649161,63,2
-0.0089203854,-0.11948883,0.052306267,-0.0072030611,0.036431951,0.038355646,0.12153151,-0.022391502,-0.0039736293,0.11225584,-0.021483527,0.020189187,-0.1152624,0.27385709,64,2
