"adm1_name","Easting","Northing","Datetime","fcs","cv_ind","rainfall_3_months_anomaly_cubic_intp","ndvi_value_cubic_intp","ndvi_anomaly_cubic_intp","log_currency_exchange","log_Area","Muslim","log_food_inflation","log_food_inflation_MPI","log_fatalities_explosions","MPI","n_conflicts_Battles_rolsum_90days","log_fatalities_battles","headline_inflation_cubic_intp","day_num"
"Edo",1279.32201875687,-4787.16004423538,"2023-02-22",0.325907865367033,0,0.748486548174849,0.587922966435695,1.00111374305931,6.13333296495721,0.953898072779411,0.19,3.19267320285339,0.402276823559527,0,0.126,4,1.79175946922805,21.927311444345,21
"Edo",1279.32201875687,-4787.16004423538,"2023-03-01",0.312474653056255,0,0.982523,0.6102,1.005959,6.13333296495721,0.953898072779411,0.19,3.19362986617234,0.402397363137715,0,0.126,4,1.79175946922805,21.9583088579923,22
"Edo",1279.32201875687,-4787.16004423538,"2023-03-08",0.312029425125615,0,0.98443719630797,0.632219975860241,1.01103861475396,6.1333763507874,0.953898072779411,0.19,3.19506190649015,0.402577800217759,0,0.126,4,1.79175946922805,21.9976518426434,23
"Edo",1279.32201875687,-4787.16004423538,"2023-03-15",0.311610332079864,0,1.05760820512623,0.655609454951405,1.0156409131712,6.13348480712841,0.953898072779411,0.19,3.19663021592088,0.402775407206031,0,0.126,3,1.79175946922805,22.04,24
"Edo",1279.32201875687,-4787.16004423538,"2023-03-22",0.304821026835227,0,1.20472773228814,0.679155600865671,1.01892179228776,6.1332895772446,0.953898072779411,0.19,3.19807371620376,0.402957288241674,0,0.126,3,1.79175946922805,22.0810939710331,25
"Edo",1279.32201875687,-4787.16004423538,"2023-03-29",0.304098381531655,0,1.17106936380323,0.699278964861716,1.0201693594153,6.13300751121759,0.953898072779411,0.19,3.19943709299457,0.403129073717316,0,0.126,3,1.79175946922805,22.1209985537917,26
"Edo",1279.32201875687,-4787.16004423538,"2023-04-05",0.299945751272104,0,1.12881475955212,0.718237326721657,1.02029750907338,6.13309430923865,0.953898072779411,0.19,3.20084072329341,0.403305931134969,0,0.126,4,2.30258509299405,22.1608595855944,27
"Edo",1279.32201875687,-4787.16004423538,"2023-04-12",0.308832883505933,0,1.13225776547285,0.736361020030009,1.01975732786127,6.13302921142916,0.953898072779411,0.19,3.20240430009166,0.403502941811549,0,0.126,3,2.19722457733622,22.2018229037597,28
"Edo",1279.32201875687,-4787.16004423538,"2023-04-19",0.317861424156404,0,1.09991950341105,0.752088543165869,1.01840948560293,6.13346311680121,0.953898072779411,0.19,3.2042375566447,0.403733932137232,0,0.126,2,1.6094379124341,22.2449529827306,29
"Edo",1279.32201875687,-4787.16004423538,"2023-04-26",0.306192689014095,0,1.01646350649806,0.765210675818115,1.01619833859665,6.13333296495721,0.953898072779411,0.19,3.20629573872898,0.403993263079851,0,0.126,2,1.6094379124341,22.2899476549023,30
"Edo",1279.32201875687,-4787.16004423538,"2023-05-03",0.299776298207752,0,0.985008612944429,0.775943525768069,1.01355762763189,6.13307261043967,0.953898072779411,0.19,3.20840716975123,0.404259303388655,0,0.126,1,1.6094379124341,22.3353707575939,31
"Edo",1279.32201875687,-4787.16004423538,"2023-05-10",0.303961955461157,0,1.04910881042707,0.784901057520671,1.0110085095279,6.13352818637145,0.953898072779411,0.19,3.21039771971096,0.404510112683581,0,0.126,1,1.6094379124341,22.3797518031615,32
"Edo",1279.32201875687,-4787.16004423538,"2023-05-17",0.299874083462162,0,1.06800323376277,0.793008954330435,1.00877080174999,6.1338317883949,0.953898072779411,0.19,3.21209910057179,0.404724486672046,0,0.126,1,1.6094379124341,22.4216884499441,33
"Edo",1279.32201875687,-4787.16004423538,"2023-05-24",0.302320999937249,0,1.06337190465899,0.80005247871852,1.00716953278137,6.13400523389009,0.953898072779411,0.19,3.21373460511407,0.404930560244373,0,0.126,1,1.6094379124341,22.4657155750663,34
"Edo",1279.32201875687,-4787.16004423538,"2023-05-31",0.289537238975111,0,1.08294218611552,0.805998142427029,1.00618650563702,6.13469871519389,0.953898072779411,0.19,3.21621257768847,0.405242784788748,0,0.126,1,1.6094379124341,22.5268284640725,35
"Edo",1279.32201875687,-4787.16004423538,"2023-06-07",0.284647574370957,0,1.11186024333104,0.811430455062633,1.00535015198789,6.13595442559293,0.953898072779411,0.19,3.22050053770066,0.405783067750284,0,0.126,1,1.6094379124341,22.621087183494,36
"Edo",1279.32201875687,-4787.16004423538,"2023-06-14",0.280497969131123,0,1.08088850873871,0.816026907870317,1.00434429060246,6.41542423785231,0.953898072779411,0.19,3.2275422286118,0.406670320805087,0,0.126,1,1.6094379124341,22.7645517998624,37
"Edo",1279.32201875687,-4787.16004423538,"2023-06-21",0.296612372469764,0,1.00902,0.8194,1.003006,6.61472560020376,0.953898072779411,0.19,3.23808324781544,0.407998489224745,0,0.126,1,1.6094379124341,22.9706820153819,38
"Edo",1279.32201875687,-4787.16004423538,"2023-06-28",0.280378954163206,0,1.00200914350206,0.821506906234254,1.0013337881118,6.6253260528118,0.953898072779411,0.19,3.25187314374367,0.409736016111703,0,0.126,1,1.6094379124341,23.2368899135143,39
"Edo",1279.32201875687,-4787.16004423538,"2023-07-05",0.273075548430844,0,1.00073160282454,0.822271077949522,0.999558862752696,6.65027904858742,0.953898072779411,0.19,3.26829008663537,0.411804550916056,0,0.126,0,0,23.5544719060629,40
"Edo",1279.32201875687,-4787.16004423538,"2023-07-12",0.249395966767285,0,0.99375163697777,0.821892634710797,0.997749209251359,6.65415252018322,0.953898072779411,0.19,3.28672409923927,0.414127236504148,0,0.126,1,1.38629436111989,23.9147123661071,41
"Edo",1279.32201875687,-4787.16004423538,"2023-07-19",0.241910775524308,0,1.01799725562922,0.820793920605379,0.995906036218516,6.66225108142923,0.953898072779411,0.19,3.30657172391301,0.416628037213039,0,0.126,1,1.38629436111989,24.308492056059,42
"Edo",1279.32201875687,-4787.16004423538,"2023-07-26",0.260837695260171,0,1.04102243911895,0.819345645441709,0.994311806012669,6.6706649215353,0.953898072779411,0.19,3.32695521332836,0.419196356879374,0,0.126,1,1.38629436111989,24.7199123404044,43
"Edo",1279.32201875687,-4787.16004423538,"2023-08-02",0.269134975049099,0,1.0414922627186,0.817909065702435,0.993059455912419,6.65672652417839,0.953898072779411,0.19,3.34680993868795,0.421698052274682,0,0.126,1,1.38629436111989,25.1274492599543,44
"Edo",1279.32201875687,-4787.16004423538,"2023-08-09",0.286997604863608,0,1.01675596195133,0.816763441032101,0.992129823123969,6.64479183504247,0.953898072779411,0.19,3.3651453714236,0.424008316799374,0,0.126,2,1.6094379124341,25.5094085822697,45
"Edo",1279.32201875687,-4787.16004423538,"2023-08-16",0.297903212195528,0,0.979723178262704,0.815967390067105,0.991553205970402,6.66618040969718,0.953898072779411,0.19,3.38104008528249,0.426011050745594,0,0.126,2,1.6094379124341,25.8441125831688,46
"Edo",1279.32201875687,-4787.16004423538,"2023-08-23",0.317217943304766,0,0.95320017645646,0.815493191795222,0.991249267651853,6.62839845527635,0.953898072779411,0.19,3.39399294911144,0.427643111588042,0,0.126,2,1.6094379124341,26.118269733292,47
"Edo",1279.32201875687,-4787.16004423538,"2023-08-30",0.326498171862017,0,0.949147959900351,0.815140770710057,0.991058059940939,6.65157187358973,0.953898072779411,0.19,3.40447866051163,0.428964311224466,0,0.126,2,1.6094379124341,26.3405940105583,48
"Edo",1279.32201875687,-4787.16004423538,"2023-09-06",0.340978409490843,0,0.953782303449596,0.814481194118521,0.99081781580112,6.62539236800796,0.953898072779411,0.19,3.41308978612814,0.430049313052145,0,0.126,3,2.39789527279837,26.5233651765119,49
"Edo",1279.32201875687,-4787.16004423538,"2023-09-13",0.342645042632904,0,0.960547819513891,0.813309284546446,0.990546963724638,6.61630611996111,0.953898072779411,0.19,3.42038699478639,0.430968761343085,0,0.126,3,2.39789527279837,26.6788629926972,50
"Edo",1279.32201875687,-4787.16004423538,"2023-09-20",0.351510421507301,0,0.968684853017105,0.811589580888702,0.99043731127848,6.64803850681206,0.953898072779411,0.19,3.42690363752277,0.431789858327869,0,0.126,3,2.39789527279837,26.819112883263,51
"Edo",1279.32201875687,-4787.16004423538,"2023-09-27",0.372194058698684,0,0.976709308877771,0.809355129903667,0.990811727431526,6.65749743517636,0.953898072779411,0.19,3.4331093705289,0.432571780686641,0,0.126,4,2.63905732961526,26.9536416617872,52
"Edo",1279.32201875687,-4787.16004423538,"2023-10-04",0.376212094320318,0,0.977136301278588,0.806737500292421,0.992042816800274,6.61688145162892,0.953898072779411,0.19,3.4394349450917,0.433368803081554,0,0.126,4,2.63905732961526,27.0905579565318,53
"Edo",1279.32201875687,-4787.16004423538,"2023-10-11",0.378990510699964,0,0.973841,0.8035,0.994563,6.63396296236898,0.953898072779411,0.19,3.44629989622426,0.434233786924257,0,0.126,3,2.39789527279837,27.2379541181653,54
"Edo",1279.32201875687,-4787.16004423538,"2023-10-18",0.373509396801182,0,0.984115384042634,0.799034629854445,0.998514326266016,6.65343061018435,0.953898072779411,0.19,3.454101532075,0.43521679304145,0,0.126,3,2.39789527279837,27.4037273088603,55
"Edo",1279.32201875687,-4787.16004423538,"2023-10-25",0.385935981564903,0,1.01217457915615,0.793138737687271,1.0027103971943,6.67951124227897,0.953898072779411,0.19,3.46289083495717,0.436324245204603,0,0.126,3,2.39789527279837,27.5893262412197,56
"Edo",1279.32201875687,-4787.16004423538,"2023-11-01",0.381758919739946,0,1.039655,0.7849,1.006502,6.66949808985788,0.953898072779411,0.19,3.47231773466255,0.437512034567481,0,0.126,3,2.39789527279837,27.788428234026,57
"Edo",1279.32201875687,-4787.16004423538,"2023-11-08",0.377735771666882,0,1.05007322501037,0.773064648911735,1.00990273158225,6.6893504820151,0.953898072779411,0.19,3.4820196950396,0.43873448157499,0,0.126,2,2.30258509299405,27.9942479370344,58
"Edo",1279.32201875687,-4787.16004423538,"2023-11-15",0.391785214269329,0,1.09251098451073,0.757723536687674,1.01266823683848,6.73824727683384,0.953898072779411,0.19,3.49164728458423,0.439947557857613,0,0.126,2,2.30258509299405,28.2,59
"Edo",1279.32201875687,-4787.16004423538,"2023-11-22",0.396930999826259,0,1.13845253151114,0.738881311123493,1.01448892120322,6.69070562211892,0.953898072779411,0.19,3.50086422348712,0.441108892159377,0,0.126,2,2.30258509299405,28.3988990726779,60
