"adm1_name","Easting","Northing","Datetime","fcs","cv_ind","rainfall_3_months_anomaly_cubic_intp","ndvi_value_cubic_intp","ndvi_anomaly_cubic_intp","log_currency_exchange","log_Area","MPI_intensity","Muslim","log_food_inflation_MPI","log_fatalities_explosions","MPI","n_conflicts_Battles_rolsum_90days","log_fatalities_battles","headline_inflation_cubic_intp","day_num","Ramadan_past90days_Muslimpop"
"Plateau",1672.71852927743,-4486.19082108642,"2023-10-18",0.46570299344063,3,0.989878980443942,0.590985693631776,0.977553015278026,6.65343061018435,1.15719424038,43.5,0.285,1.26074705920738,0,0.365,9,3.25809653802148,27.4037273088603,55,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-10-25",0.468341841637225,3,0.991280686654642,0.566972891230137,0.978883946911502,6.67951124227897,1.15719424038,43.5,0.285,1.26395515475937,0,0.365,4,1.79175946922805,27.5893262412197,56,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-11-01",0.45500248487258,3,0.979333,0.5412,0.980129,6.66949808985788,1.15719424038,43.5,0.285,1.26739597315183,0,0.365,5,2.07944154167984,27.788428234026,57,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-11-08",0.481930439362296,3,0.959554148401968,0.51237915529736,0.981678558454208,6.6893504820151,1.15719424038,43.5,0.285,1.27093718868945,0,0.365,5,2.07944154167984,27.9942479370344,58,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-11-15",0.492310796927351,3,0.975013302059277,0.482678071975852,0.983642755843296,6.73824727683384,1.15719424038,43.5,0.285,1.27445125887324,0,0.365,5,2.07944154167984,28.2,59,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-11-22",0.50094933580521,3,1.02666192106102,0.453727628109903,0.986095053159019,6.69070562211892,1.15719424038,43.5,0.285,1.2778154415728,0,0.365,6,2.19722457733622,28.3988990726779,60,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-11-29",0.518103760352195,3,1.07022073819959,0.426062972862943,0.989037807076745,6.67708346124714,1.15719424038,43.5,0.285,1.28091138979979,0,0.365,6,2.19722457733622,28.5841598048233,61,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-12-06",0.508771156640629,3,1.06822664249682,0.400378945069366,0.992230403522135,6.68710860786651,1.15719424038,43.5,0.285,1.28362437618747,0,0.365,5,1.38629436111989,28.7489968461914,62,0
"Plateau",1672.71852927743,-4486.19082108642,"2023-12-13",0.521798681102289,3,1.10821933444612,0.376736357572753,0.99566099781159,6.68835471394676,1.15719424038,43.5,0.285,1.28584218692447,0,0.365,5,1.38629436111989,28.8866248465372,63,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-10-05",0.173925136667978,3,0.690158523640706,0.742010791106172,0.966369524216334,6.07043745197727,0.604422800123116,38.7,0.003,0.761324706638254,0,0.241,4,1.94591014905531,20.9513535573314,1,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-10-12",0.169324177908177,3,0.77413457941937,0.73793811682877,0.965611741083018,6.0759665281957,0.604422800123116,38.7,0.003,0.762512201626667,0,0.241,5,2.07944154167984,21.0449815933777,2,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-10-19",0.167558673117445,3,0.73350248874883,0.731165362344213,0.964867106152217,6.07988742745788,0.604422800123116,38.7,0.003,0.763889678585213,0,0.241,5,1.79175946922805,21.1540733904655,3,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-10-26",0.178240081121278,3,0.750567905712438,0.722783877891551,0.964567218502049,6.08119098498184,0.604422800123116,38.7,0.003,0.76530109590804,0,0.241,5,1.79175946922805,21.2688481948402,4,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-11-02",0.178611925763599,3,0.787901632532977,0.712458037151522,0.964911132740798,6.08534188269933,0.604422800123116,38.7,0.003,0.766487119975944,0,0.241,6,1.79175946922805,21.3716762186163,5,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-11-09",0.185123435605942,3,0.744919354183102,0.699435622723222,0.965993526694477,6.08856857155596,0.604422800123116,38.7,0.003,0.767189866401848,0,0.241,7,2.39789527279837,21.4446900910365,6,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-11-16",0.178425671977984,3,0.746260646052743,0.684334212453181,0.968065859348172,6.09173965396592,0.604422800123116,38.7,0.003,0.767152711658431,0,0.241,7,2.39789527279837,21.4700469869631,7,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-11-23",0.192805065445976,3,0.798934072090383,0.667727868560678,0.9715118293536,6.09537401049849,0.604422800123116,38.7,0.003,0.766302185674991,0,0.241,6,2.30258509299405,21.4423732559891,8,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-11-30",0.195028621442384,3,0.854476292024693,0.650293390542866,0.976638987813288,6.09681506271581,0.604422800123116,38.7,0.003,0.765054354170236,0,0.241,6,2.56494935746154,21.389014558566,9,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-12-07",0.193511636773601,3,0.914945892660622,0.633040410256951,0.983496076952341,6.09877066884622,0.604422800123116,38.7,0.003,0.763910991076274,0,0.241,5,2.30258509299405,21.3426184089674,10,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-12-14",0.225220410330343,3,0.940094784831804,0.616298231923646,0.991992960369441,6.10022926189937,0.604422800123116,38.7,0.003,0.763382700338815,0,0.241,5,2.30258509299405,21.3358323214673,11,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-12-21",0.229794842370426,3,0.928012,0.6008,1.001381,6.10134981063722,0.604422800123116,38.7,0.003,0.763881008237089,0,0.241,7,2.56494935746154,21.3947788132211,12,0
"Rivers",1392.83478995249,-4985.32086021208,"2022-12-28",0.227465905349436,3,0.9174977324638,0.587892786926382,1.0103176528464,6.10287174468211,0.604422800123116,38.7,0.003,0.765188552823919,0,0.241,7,2.56494935746154,21.5053127108355,13,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-01-04",0.226029738253888,3,0.841770577831048,0.578125128957783,1.01800823605558,6.10815810060526,0.604422800123116,38.7,0.003,0.766849834393567,0,0.241,7,2.56494935746154,21.6379430143608,14,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-01-11",0.229230965084828,3,0.743865,0.5723,1.022768,6.11390339430056,0.604422800123116,38.7,0.003,0.768417532529105,0,0.241,7,2.56494935746154,21.7631485155278,15,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-01-18",0.242859095850968,3,0.760708389590472,0.570983942597477,1.02229577364085,6.11827339397168,0.604422800123116,38.7,0.003,0.769464132758424,0,0.241,6,2.56494935746154,21.8520111021091,16,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-01-25",0.23678991312157,3,0.758282767374433,0.571747070206929,1.01683569538837,6.13224770699343,0.604422800123116,38.7,0.003,0.769859725107681,0,0.241,6,2.56494935746154,21.8955371681605,17,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-02-01",0.24140365676784,3,0.701063,0.5744,1.008001,6.13344142600353,0.604422800123116,38.7,0.003,0.76982317100028,0,0.241,6,2.56494935746154,21.9087452649728,18,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-02-08",0.263613283560097,3,0.67009780320255,0.580517848320018,0.998296805085318,6.13322449214581,0.604422800123116,38.7,0.003,0.76959115367239,0,0.241,5,2.07944154167984,21.908083504826,19,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-02-15",0.269568757742373,3,0.654231875380897,0.5889555789663,0.991268126405181,6.13352818637145,0.604422800123116,38.7,0.003,0.769400175736392,0,0.241,7,2.94443897916644,21.91,20,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-02-22",0.26824286572781,3,0.710909986775105,0.601938672233577,0.988394724921313,6.13333296495721,0.604422800123116,38.7,0.003,0.769434241887666,0,0.241,6,2.77258872223978,21.927311444345,21,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-03-01",0.2704492216759,3,0.851713,0.6208,0.988802,6.13333296495721,0.604422800123116,38.7,0.003,0.769664797747534,0,0.241,8,2.99573227355399,21.9583088579923,22,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-03-08",0.276909924765475,3,0.862727261732112,0.638185776447166,0.990625497672214,6.1333763507874,0.604422800123116,38.7,0.003,0.770009919464127,0,0.241,8,2.99573227355399,21.9976518426434,23,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-03-15",0.269427179421853,3,0.860530712777733,0.654929962743281,0.992330320559411,6.13348480712841,0.604422800123116,38.7,0.003,0.770387882036932,0,0.241,6,2.83321334405622,22.04,24,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-03-22",0.276343981363577,3,0.915446689288511,0.67051820239541,0.992853803446891,6.1332895772446,0.604422800123116,38.7,0.003,0.770735765605106,0,0.241,7,2.99573227355399,22.0810939710331,25,0
"Rivers",1392.83478995249,-4985.32086021208,"2023-03-29",0.270602716291449,3,0.966777715228962,0.682836957923681,0.991944103280254,6.13300751121759,0.604422800123116,38.7,0.003,0.771064339411692,0,0.241,8,3.25809653802148,22.1209985537917,26,0.021
"Rivers",1392.83478995249,-4985.32086021208,"2023-04-05",0.269864329836515,3,0.928842345670287,0.693897178798457,0.990691329579589,6.13309430923865,0.604422800123116,38.7,0.003,0.771402614313711,0,0.241,8,3.25809653802148,22.1608595855944,27,0.042
"Rivers",1392.83478995249,-4985.32086021208,"2023-04-12",0.262492688108998,3,0.85318767136187,0.704580200654518,0.989916332440464,6.13302921142916,0.604422800123116,38.7,0.003,0.77177943632209,0,0.241,9,3.3322045101752,22.2018229037597,28,0.063
"Rivers",1392.83478995249,-4985.32086021208,"2023-04-19",0.24418107275008,3,0.83368377084545,0.714437849277525,0.989898623900566,6.13346311680121,0.604422800123116,38.7,0.003,0.772221251151373,0,0.241,11,3.40119738166216,22.2449529827306,29,0.084
