"cv_fold","feature","beta_name","posterior_mean","posterior_sd","posterior_median","ci_2.5","ci_97.5","prob_positive","prob_negative","includes_zero","prior_mean","rhat","ess_bulk","ess_tail"
3,"Waterways","beta[5]",-0.0210712473958797,0.0353950482240641,-0.0173863185,-0.09878787585,0.043203674425,0.27575,0.72425,TRUE,0,1.00233762772771,2894.33572758613,2041.12523210826
3,"Ramadan_past90days_Muslimpop","beta[6]",-0.0284403571040386,0.0181854415906885,-0.0277694515,-0.0657548268,0.003872188565,0.0495,0.9505,TRUE,0,1.00190066155604,1520.2897555451,2405.47894817565
3,"Muslim","beta[7]",0.0225392656943517,0.0506516961077274,0.0180478385,-0.075720980075,0.1291302505,0.689,0.311,TRUE,0,1.00170971322939,2500.80852779232,1954.83630496689
4,"MPI_intensity","beta[1]",0.175882185155925,0.0660188584818163,0.176513465,0.04226832445,0.301251907,0.99775,0.00225,FALSE,0,1.00243088925311,1637.63361734004,2559.50028741447
4,"currency_exchange_log","beta[2]",-0.031719246530548,0.0177583583232285,-0.0316932285,-0.066724367575,0.0037326079975,0.0385,0.9615,TRUE,0,1.00101051282729,4008.50285024063,2862.78462138676
4,"ndvi_value_cubic_intp","beta[3]",-0.071785646428535,0.0343315361737012,-0.0717658375,-0.1383048485,-0.00610807682249998,0.0145,0.9855,FALSE,0,1.00121767006704,2494.82118391678,2607.89117392117
4,"food_inflation_cubic_intp","beta[4]",-0.025397511040394,0.0394490808426766,-0.0247619115,-0.10390609025,0.050656285,0.25875,0.74125,TRUE,0,1.00020715444632,3766.64874348791,2938.43669725031
4,"Waterways","beta[5]",-0.0488059457467217,0.0376805017281277,-0.049398044,-0.1217852855,0.02623450695,0.095,0.905,TRUE,0,1.00082409874583,2838.85382816578,2926.82138597968
4,"Ramadan_past90days_Muslimpop","beta[6]",-0.0483159522348928,0.016256980603995,-0.0483817835,-0.0805125465,-0.0167630903,0.00175,0.99825,FALSE,0,1.00079438282454,4248.30275063062,2834.72488093825
4,"Muslim","beta[7]",0.00635360349986098,0.0605167488755998,0.00882642585,-0.11638276125,0.12264313025,0.5595,0.4405,TRUE,0,1.00158241908025,2138.28523166195,2449.62345555181
5,"MPI_intensity","beta[1]",0.112630129514783,0.0709611270511985,0.10647642,-0.004071023615,0.26552443075,0.96725,0.03275,TRUE,0,1.00180330415788,1675.60793671047,1962.26365962918
5,"currency_exchange_log","beta[2]",-0.0328833493306242,0.0164998468606377,-0.0324690405,-0.065797850975,-0.001476026315,0.01775,0.98225,FALSE,0,1.00160820868474,4178.85325196946,2888.26281319232
5,"ndvi_value_cubic_intp","beta[3]",-0.0282454249204096,0.0326024549351294,-0.027722307,-0.094041372775,0.0337960393000001,0.18775,0.81225,TRUE,0,1.00023721219955,3888.23959594941,2833.03472198379
5,"food_inflation_cubic_intp","beta[4]",-0.0230326700256642,0.0363637730521887,-0.0224063845,-0.094990241075,0.04927394985,0.26475,0.73525,TRUE,0,0.999464889379306,3505.57699528104,2799.21462120935
5,"Waterways","beta[5]",-0.0246977607685536,0.0410261493156479,-0.023821083,-0.1087905205,0.052813810825,0.2625,0.7375,TRUE,0,1.00066401606224,3344.40871179324,2858.13884081437
5,"Ramadan_past90days_Muslimpop","beta[6]",-0.0527305639993226,0.0174197425173934,-0.0529515705,-0.086659485675,-0.018034181625,0.00175,0.99825,FALSE,0,0.999636340127891,3674.11159992008,2974.74547944387
5,"Muslim","beta[7]",0.0226632898761848,0.0571920752383444,0.0232188075,-0.098696948,0.13431177225,0.68375,0.31625,TRUE,0,1.00214702461608,2692.27808888097,1632.47671640132
