,adm1_name,Datetime,adm1_code,fcs,pewi_cubic_intp,food_inflation_cubic_intp,headline_inflation_cubic_intp,Explosions/Remote violence_cubic_intp,rainfall_value_cubic_intp,rainfall_1_month_anomaly_cubic_intp,rainfall_3_months_anomaly_cubic_intp,ndvi_value_cubic_intp,ndvi_anomaly_cubic_intp,Violence against civilians_cubic_intp,Battles_cubic_intp,currency_exchange_cubic_intp,rcsi_cubic_intp,fcs_cubic_intp,year_week,day_of_week,day_of_week_num,Ramadan,Ramadan_past90days,cv_ind,Area,Lat,Lon,Waterways,population,Easting,Northing,MPI,MPI_incidence,MPI_intensity,Muslim,rainfall_1_month_anomaly_asinh,ndvi_anomaly_asinh,rainfall_value_log,currency_exchange_log,Area_log
311,Ennedi Est,2023-11-22,900176.0,0.6412808336530412,-0.42686135297868893,-0.4,1.9,,-0.0016350155125908615,0.999148860302192,0.8802100964616881,0.11114030722813924,1.0351282535380126,,0.0,601.5325844333896,0.17892534800938198,0.6412808336530412,2023-W47,Wednesday,3.0,0.0,0.0,1,85100.79451346552,17.77278249132125,23.12811805297055,310.4951819436847,174805,1363934.162426128,1983842.685696148,65.98,98.1,67.2,0.975641444086694,0.8807716122854307,0.9059961651162685,-0.0016363536091920617,6.401141745949548,11.35160340145389
312,Ennedi Est,2023-11-29,900176.0,0.6346935490199498,-0.5633458006184694,-0.4,1.9,,0.001317866995867681,0.9996022172668265,0.9507578656541799,0.11109350138183946,1.0358134345822028,,0.0,599.1154843608017,0.1720410864693778,0.6346935490199498,2023-W48,Wednesday,3.0,0.0,0.0,1,85100.79451346552,17.77278249132125,23.12811805297055,310.4951819436847,174805,1363934.162426128,1983842.685696148,65.98,98.1,67.2,0.975641444086694,0.8810922841780515,0.9064721460107863,0.001316999371350534,6.397122110630084,11.35160340145389
313,Ennedi Est,2023-12-06,900176.0,0.6394194248744419,-0.663679569675933,-0.4,1.9,,-0.00036678915412332924,1.0000827810146038,1.0139798930122645,0.11102390908806228,1.036569334347727,,0.0,604.8896700980049,0.17087044852120536,0.6394194248744419,2023-W49,Wednesday,3.0,0.0,0.0,1,85100.79451346552,17.77278249132125,23.12811805297055,310.4951819436847,174805,1363934.162426128,1983842.685696148,65.98,98.1,67.2,0.975641444086694,0.8814321208249426,0.906997064688294,-0.00036685643771824873,6.406697906949371,11.35160340145389
314,Ennedi Est,2023-12-13,900176.0,0.6268007823399134,-0.6666666666666666,-0.4,1.9,,-3.82416762193746e-05,1.0000086308025253,0.978758841460928,0.11058034661168772,1.0344902307911419,,0.0,608.1925008258175,0.16734191622052874,0.6268007823399134,2023-W50,Wednesday,3.0,0.0,0.0,1,85100.79451346552,17.77278249132125,23.12811805297055,310.4951819436847,174805,1363934.162426128,1983842.685696148,65.98,98.1,67.2,0.975641444086694,0.8813796899053676,0.9055527975469485,-3.8242407450895144e-05,6.412134311072977,11.35160340145389
315,Ennedi Ouest,2022-10-05,900177.0,0.4050131988525391,,17.470911115373866,5.708237030384212,,0.17949451968175034,0.9542528465150849,1.2298091118044177,0.11251421363154644,1.0237424688022925,,,663.59,0.2702286720275879,0.4050131988525391,2022-W40,Wednesday,2.0,0.0,0.0,2,125456.72323287406,18.407000365092284,21.140289018513567,372.5026983611954,99126,1149521.9349033523,2046235.3060860073,60.24,93.4,64.5,0.6679562514463174,0.8486527365216671,0.8980627955618952,0.165085973548525,6.499170309162694,11.739724114131327
316,Ennedi Ouest,2022-10-12,900177.0,0.41074935913085936,,18.450579291971074,6.41230965012644,,0.09445180384594555,0.9916116201780232,1.2405629547762589,0.1115446908864887,1.0206290808005742,,,672.7478595620031,0.2752021271841867,0.41074935913085936,2022-W41,Wednesday,3.0,0.0,0.0,2,125456.72323287406,18.407000365092284,21.140289018513567,372.5026983611954,99126,1149521.9349033523,2046235.3060860073,60.24,93.4,64.5,0.6679562514463174,0.8754296505518979,0.8958855816324548,0.0902536021514147,6.512855945315753,11.739724114131327
317,Ennedi Ouest,2022-10-19,900177.0,0.41194974626813613,,20.028167225961315,7.652696847238839,,0.018054291809692865,1.020172589521122,1.2336215491498417,0.11023098230704186,1.0167083447492449,,,670.5684477086307,0.27757733481270924,0.41194974626813613,2022-W42,Wednesday,3.0,0.0,0.0,2,125456.72323287406,18.407000365092284,21.140289018513567,372.5026983611954,99126,1149521.9349033523,2046235.3060860073,60.24,93.4,64.5,0.6679562514463174,0.8955660691671781,0.893138958629188,0.01789324854287263,6.509615943320467,11.739724114131327
318,Ennedi Ouest,2022-10-26,900177.0,0.4193900081089565,,21.1798521515528,8.63340820489964,,-0.0019792686542044933,1.0094959655687668,1.2150857357811249,0.1094361609554679,1.0146735387260957,,,666.2870459893918,0.2673537417820521,0.4193900081089565,2022-W43,Wednesday,3.0,0.0,0.0,2,125456.72323287406,18.407000365092284,21.140289018513567,372.5026983611954,99126,1149521.9349033523,2046235.3060860073,60.24,93.4,64.5,0.6679562514463174,0.8880723334353982,0.8917113770695804,-0.001981229994847947,6.503220307147167,11.739724114131327
319,Ennedi Ouest,2022-11-02,900177.0,0.4284413746425084,,21.60743767213088,9.00928104601162,,-0.0007011406602011782,1.0009581403223307,1.2180993088570662,0.10904170464148566,1.014062445277092,,,660.0929067289973,0.24921442849295478,0.4284413746425084,2022-W44,Wednesday,3.0,0.0,0.0,2,125456.72323287406,18.407000365092284,21.140289018513567,372.5026983611954,99126,1149521.9349033523,2046235.3060860073,60.24,93.4,64.5,0.6679562514463174,0.882050932277898,0.891282361781827,-0.000701386574267529,6.49389438478416,11.739724114131327
320,Ennedi Ouest,2022-11-09,900177.0,0.4158594131469727,,21.08159681254602,8.502109880038947,,0.000554913455189316,0.9993915120639182,1.2573680143970862,0.10887415136661281,1.0143489724228156,,,660.2297558735269,0.25810600280761714,0.4158594131469727,2022-W45,Wednesday,3.0,0.0,0.0,2,125456.72323287406,18.407000365092284,21.140289018513567,372.5026983611954,99126,1149521.9349033523,2046235.3060860073,60.24,93.4,64.5,0.6679562514463174,0.8809432556141237,0.8914835331401184,0.0005547595476521115,6.494101367767797,11.739724114131327
