"","adm1_code","adm1_name","Datetime","fcs","rcsi","data_type","pewi_6","pewi_6_cubic_intp","pewi_8","pewi_8_cubic_intp","rainfall_value","rainfall_value_cubic_intp","rainfall_1_month_anomaly","rainfall_1_month_anomaly_cubic_intp","rainfall_3_months_anomaly","rainfall_3_months_anomaly_cubic_intp","ndvi_value","ndvi_value_cubic_intp","ndvi_anomaly","ndvi_anomaly_cubic_intp","n_conflicts_Battles_anomaly_30days_lagged14days","n_fatalities_Battles_anomaly_30days_lagged14days","n_conflicts_Battles_rolsum_90days","n_fatalities_Battles_rolsum_90days","n_conflicts_Violence_against_civilians_anomaly_30days_lagged14days","n_fatalities_Violence_against_civilians_anomaly_30days_lagged14days","n_conflicts_Violence_against_civilians_rolsum_90days","n_fatalities_Violence_against_civilians_rolsum_90days","n_conflicts_Explosions.Remote_violence_anomaly_30days_lagged14days","n_fatalities_Explosions.Remote_violence_anomaly_30days_lagged14days","n_conflicts_Explosions.Remote_violence_rolsum_90days","n_fatalities_Explosions.Remote_violence_rolsum_90days","food_inflation","food_inflation_cubic_intp","headline_inflation","headline_inflation_cubic_intp","currency_exchange","currency_exchange_cubic_intp","Ramadan","Ramadan_past90days","day_num","day_of_week","Area","Lat","Lon","Waterways","population","Easting","Northing","Longitude","Latitude","MPI","MPI_incidence","MPI_intensity","Muslim","Christian","region_cat","cv_ind","Ramadan_past90days_Muslimpop","food_inflation_MPI","log_food_inflation","log_food_inflation_MPI","log_fatalities_battles","log_fatalities_violenceagainstcivilians","log_fatalities_explosions"
"619",65703,"Enugu","2023-09-27",0.357032672586059,0.175694540240631,"SURVEY 90 days",NA,NA,NA,NA,NA,72.1987033214428,NA,NA,NA,1.02832593991146,NA,0.767721568935605,NA,1.00864791087016,-1,-3,12,23,-1,3,16,12,0,0,0,0,NA,30.9727990880452,NA,26.9536416617872,777.6,777.6,0,0,52,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.24763498660257,3.4331093705289,0.803347592703763,3.17805383034795,2.56494935746154,0
"620",65703,"Enugu","2023-10-04",0.358650047503439,0.19233111082595,"SURVEY 90 days",NA,NA,NA,NA,NA,74.9826486259181,NA,NA,NA,1.02587502026941,NA,0.764250200377386,NA,1.01264130848386,1,0,10,22,1,3,17,12,0,0,0,0,NA,31.1693408023799,NA,27.0905579565318,746.61,746.61,0,0,53,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.29362574775689,3.4394349450917,0.804827777151458,3.13549421592915,2.56494935746154,0
"621",65703,"Enugu","2023-10-11",0.362504507302719,0.182791234780604,"SURVEY 90 days",NA,NA,NA,NA,83.496,83.496,NA,NA,1.033322,1.033322,0.7591,0.7591,1.018085,1.018085,-1,-2,9,18,0,3,18,12,0,0,0,0,NA,31.3840529548018,NA,27.2379541181653,759.49,759.49,0,0,54,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.34386839142363,3.44629989622426,0.806434175716478,2.94443897916644,2.56494935746154,0
"622",65703,"Enugu","2023-10-18",0.372678041964799,0.187838848928415,"SURVEY 90 days",NA,NA,NA,NA,NA,129.086727233608,NA,NA,NA,1.06055943811964,NA,0.751715347046275,NA,1.02539898926428,-3,-6,8,18,4,4,16,11,0,0,0,0,NA,31.6298574994989,NA,27.4037273088603,774.44,774.44,0,0,55,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.40138665488275,3.454101532075,0.80825975850555,2.94443897916644,2.484906649788,0
"623",65703,"Enugu","2023-10-25",0.374743040184579,0.182625240663097,"SURVEY 90 days",NA,NA,NA,NA,NA,104.716475157819,NA,NA,NA,1.08696972796044,NA,0.742634078198554,NA,1.03338687986881,-1,0,8,17,2,-6,15,11,0,0,0,0,NA,31.9090872168798,NA,27.5893262412197,794.93,794.93,0,0,56,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.46672640874987,3.46289083495717,0.810316455379978,2.89037175789616,2.484906649788,0
"624",65703,"Enugu","2023-11-01",0.37770055984324,0.176477909139166,"SURVEY 90 days",NA,NA,NA,NA,26.652,26.652,NA,NA,1.097565,1.097565,0.7315,0.7315,1.041895,1.041895,-3,-6,8,17,-4,-7,13,10,0,0,0,0,NA,32.2113132709709,NA,27.788428234026,787,787,0,0,57,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.53744730540718,3.47231773466255,0.812522349911036,2.89037175789616,2.39789527279837,0
"625",65703,"Enugu","2023-11-08",0.389726934295685,0.178140986555619,"SURVEY 90 days",NA,NA,NA,NA,NA,6.81349497994528,NA,NA,NA,1.10328793941773,NA,0.717359441616356,NA,1.05169626043031,-3,-7,8,17,-3,-7,14,10,0,0,0,0,NA,32.5253470644513,NA,27.9942479370344,802.8,802.8,0,0,58,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.61093121308159,3.4820196950396,0.814792608639267,2.89037175789616,2.39789527279837,0
"626",65703,"Enugu","2023-11-15",0.413668130271556,0.184575957538587,"SURVEY 90 days",NA,NA,NA,NA,NA,10.784546485656,NA,NA,NA,1.1663103886954,NA,0.700761302880977,NA,1.0624289204489,-2,-6,6,11,-7,-7,16,10,0,0,0,0,32.84,32.84,28.2,28.2,843.08,843.08,0,0,59,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.68456,3.49164728458423,0.817045464592709,2.484906649788,2.39789527279837,0
"627",65703,"Enugu","2023-11-22",0.438424650611803,0.190159229408405,"SURVEY 90 days",NA,NA,NA,NA,NA,8.19322621712884,NA,NA,NA,1.22844933653166,NA,0.682108370314758,NA,1.07365748438089,-1,-4,5,9,-7,-4,14,9,0,0,0,0,NA,33.1440834802962,NA,28.3988990726779,803.89,803.89,0,0,60,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.75571553438931,3.50086422348712,0.819202228295985,2.30258509299405,2.30258509299405,0
"628",65703,"Enugu","2023-11-29",0.431476037631947,0.179180831718505,"SURVEY 90 days",NA,NA,NA,NA,NA,3.53621317053389,NA,NA,NA,1.18912256801574,NA,0.661492619943814,NA,1.08490900445905,-1,-4,4,8,0,2,13,9,0,0,0,0,NA,33.4264089080189,NA,28.5841598048233,793,793,0,0,61,"Wed",0.624322946765365,6.53624489621668,7.4406111626312,0.50009106800333,4361568,1448383.63208385,-4795079.40262255,7.4406111626312,6.53624489621668,0.234,63.1,37.2,0.005,77.1,"s",4,0,7.82177968447643,3.50934627342409,0.821187027981237,2.19722457733622,2.30258509299405,0
